Time;Position;Rotation;player Position;pizza Rotation;enemy Position;Variant;Condition
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, 0.0);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:56;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -0.1);(0.0, 0.0, 0.0, 1.0);;Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.1);(0.0, 0.0, 0.0, 1.0);(4.6, 4.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.1);(0.0, 0.0, 0.0, 1.0);(4.6, 4.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.1);(0.0, 0.0, 0.0, 1.0);(4.6, 4.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.1);(0.0, 0.0, 0.0, 1.0);(4.6, 4.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.1);(0.0, 0.0, 0.0, 1.0);(4.6, 4.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.2);(0.0, 0.0, 0.0, 1.0);(4.6, 4.2, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.2);(0.0, 0.0, 0.0, 1.0);(4.6, 4.2, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.2);(0.0, 0.0, 0.0, 1.0);(4.6, 4.0, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.2);(0.0, 0.0, 0.0, 1.0);(4.6, 4.0, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.2);(0.0, 0.0, 0.0, 1.0);(4.6, 4.0, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.3);(0.0, 0.0, 0.0, 1.0);(4.6, 3.7, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.3);(0.0, 0.0, 0.0, 1.0);(4.6, 3.7, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.3);(0.0, 0.0, 0.0, 1.0);(4.6, 3.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.3);(0.0, 0.0, 0.0, 1.0);(4.6, 3.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.4);(0.0, 0.0, 0.0, 1.0);(4.6, 3.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.4);(0.0, 0.0, 0.0, 1.0);(4.6, 3.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.4);(0.0, 0.0, 0.0, 1.0);(4.6, 3.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.4);(0.0, 0.0, 0.0, 1.0);(4.6, 3.1, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.4);(0.0, 0.0, 0.0, 1.0);(4.6, 3.1, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.5);(0.0, 0.0, 0.0, 1.0);(4.6, 2.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.5);(0.0, 0.0, 0.0, 1.0);(4.6, 2.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.5);(0.0, 0.0, 0.0, 1.0);(4.6, 2.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.5);(0.0, 0.0, 0.0, 1.0);(4.6, 2.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.5);(0.0, 0.0, 0.0, 1.0);(4.6, 2.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.6);(0.0, 0.0, 0.0, 1.0);(4.6, 2.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.6);(0.0, 0.0, 0.0, 1.0);(4.6, 2.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.6);(0.0, 0.0, 0.0, 1.0);(4.6, 2.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.6);(0.0, 0.0, 0.0, 1.0);(4.6, 2.1, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.6);(0.0, 0.0, 0.0, 1.0);(4.6, 2.1, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.7);(0.0, 0.0, 0.0, 1.0);(4.6, 1.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.7);(0.0, 0.0, 0.0, 1.0);(4.6, 1.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.7);(0.0, 0.0, 0.0, 1.0);(4.6, 1.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.7);(0.0, 0.0, 0.0, 1.0);(4.6, 1.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.7);(0.0, 0.0, 0.0, 1.0);(4.6, 1.6, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.8);(0.0, 0.0, 0.0, 1.0);(4.6, 1.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.8);(0.0, 0.0, 0.0, 1.0);(4.6, 1.3, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.8);(0.0, 0.0, 0.0, 1.0);(4.6, 1.1, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.8);(0.0, 0.0, 0.0, 1.0);(4.6, 1.1, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.9);(0.0, 0.0, 0.0, 1.0);(4.6, 0.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.9);(0.0, 0.0, 0.0, 1.0);(4.6, 0.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -3.9);(0.0, 0.0, 0.0, 1.0);(4.6, 0.8, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.0);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.0);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.0);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.0);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.0);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.1);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.1);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.1);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.1);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.1);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.2);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.2);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.2);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.2);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.3);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.3);(0.0, 0.0, 0.0, 1.0);(4.6, 0.5, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.4);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.4);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.4);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.4);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:58;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.4);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.5);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.5);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.5);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.5);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.5);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.6);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.6);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.6);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.6);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.7);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.7);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.7);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.8);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.8);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.8);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.8);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.5, -4.8);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.4, -4.9);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.4, -4.9);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
10:12:59;(0.0, 10.1, -17.5);(0.1, 0.0, 0.0, 1.0);(0.0, 0.4, -5.0);(0.0, 0.0, 0.0, 1.0);(4.6, 0.4, -1.8);Variant A;Hardware Prototype
